词语	词性	词频	一元概率
预算	n	911	0.00602
管理	vn	858	0.00567
财政	n	772	0.005101
建设	vn	755	0.004989
服务	vn	566	0.00374
信息	n	563	0.00372
增长	v	557	0.003681
资金	n	544	0.003595
项目	n	525	0.003469
推进	vi	521	0.003443
住房	n	521	0.003443
发展	vn	510	0.00337
支出	n	506	0.003344
ldquo	n	456	0.003013
rdquo	n	456	0.003013
上海	ns	443	0.002927
收入	n	443	0.002927
本市	r	417	0.002756
社会	n	415	0.002742
企业	n	402	0.002656
政府	n	395	0.00261
政策	n	363	0.002399
保障	vn	359	0.002372
完善	v	355	0.002346
上年	t	354	0.002339
进一步	d	352	0.002326
公共	b	335	0.002214
工作	vn	330	0.002181
完成	v	330	0.002181
单位	n	318	0.002101
经济	n	314	0.002075
加强	v	291	0.001923
部门	n	285	0.001883
上海市	ns	270	0.001784
情况	n	269	0.001778
技术	n	263	0.001738
土地	n	262	0.001731
制度	n	257	0.001698
加快	v	254	0.001678
决算	n	245	0.001619
体系	n	241	0.001593
机制	n	239	0.001579
中心	n	239	0.001579
发展	v	238	0.001573
产业	n	236	0.00156
提高	v	232	0.001533
实施	v	229	0.001513
改革	vn	228	0.001507
问题	n	225	0.001487
全市	n	223	0.001474
建立	v	219	0.001447
专项	b	215	0.001421
mdash	n	214	0.001414
基础	n	213	0.001408
促进	v	212	0.001401
规定	n	212	0.001401
国家	n	210	0.001388
主要	d	210	0.001388
重点	n	209	0.001381
设施	n	206	0.001361
城市	n	201	0.001328
基金	n	196	0.001295
安全	an	195	0.001289
下降	vi	188	0.001242
审计	vn	184	0.001216
其中	rz	183	0.001209
市场	n	180	0.001189
机构	n	173	0.001143
电子	n	170	0.001123
交通	n	170	0.001123
教育	vn	169	0.001117
工程	n	167	0.001104
有关	vn	167	0.001104
有限公司	n	165	0.00109
其他	rzv	162	0.001071
社区	n	161	0.001064
应用	vn	161	0.001064
环境	n	158	0.001044
落实	v	158	0.001044
要求	n	158	0.001044
居民	n	157	0.001037
积极	ad	156	0.001031
资源	n	156	0.001031
住宅	n	153	0.001011
规划	n	150	0.000991
信息化	vn	150	0.000991
地方	n	149	0.000985
主要	b	149	0.000985
系统	n	147	0.000971
原因	n	147	0.000971
增加	v	145	0.000958
加大	v	142	0.000938
安排	v	141	0.000932
按照	p	141	0.000932
能力	n	141	0.000932
案例	n	140	0.000925
国际	n	139	0.000919
文化	n	138	0.000912
相关	vn	138	0.000912
实现	v	137	0.000905
国有	vn	136	0.000899
金融	n	136	0.000899
平台	n	135	0.000892
关于	p	133	0.000879
结果	n	132	0.000872
水平	n	132	0.000872
创新	vn	131	0.000866
力度	n	131	0.000866
市级	b	131	0.000866
增长	vn	131	0.000866
不断	d	130	0.000859
方式	n	130	0.000859
卫生	an	130	0.000859
重大	a	130	0.000859
达到	v	129	0.000852
平方米	q	129	0.000852
使用	v	129	0.000852
商务	n	128	0.000846
时间	n	126	0.000833
投资	vn	126	0.000833
网上	s	126	0.000833
标准	n	125	0.000826
综合	vd	125	0.000826
物业	n	124	0.000819
根据	p	123	0.000813
全年	n	123	0.000813
事业	n	123	0.000813
提供	v	120	0.000793
支持	v	120	0.000793
提升	v	119	0.000786
处理	v	118	0.00078
本级	r	117	0.000773
计划	n	116	0.000767
经费	n	116	0.000767
全面	ad	116	0.000767
家庭	n	115	0.00076
网络	n	115	0.00076
继续	v	114	0.000753
结构	n	114	0.000753
健全	v	112	0.00074
体制	n	112	0.00074
信箱	n	111	0.000733
过程	n	110	0.000727
形成	v	109	0.00072
公司	n	108	0.000714
用于	v	108	0.000714
节能	vn	107	0.000707
支付	v	106	0.0007
中央	n	105	0.000694
方面	n	104	0.000687
学校	n	104	0.000687
监管	vn	103	0.000681
收支	n	103	0.000681
咨询	vn	103	0.000681
领域	n	102	0.000674
面积	n	102	0.000674
以及	cc	102	0.000674
改造	vn	101	0.000667
人员	n	101	0.000667
房地产	n	100	0.000661
监督	vn	99	0.000654
医疗	n	99	0.000654
运行	vn	99	0.000654
年度	n	98	0.000648
基本	a	97	0.000641
行政	n	97	0.000641
服务业	n	96	0.000634
事务	n	96	0.000634
规范	v	95	0.000628
价格	n	95	0.000628
开展	v	95	0.000628
目标	n	95	0.000628
着力	vd	95	0.000628
租赁	vn	95	0.000628
建设	v	94	0.000621
逐步	d	94	0.000621
2011年	t	93	0.000615
房屋	n	93	0.000615
街道	n	93	0.000615
深化	v	93	0.000615
税收	n	93	0.000615
编号	n	92	0.000608
科技	n	92	0.000608
工业	n	91	0.000601
共计	v	91	0.000601
进行	vx	91	0.000601
综合	vn	91	0.000601
领导	n	90	0.000595
金额	n	89	0.000588
补助	vn	88	0.000582
扩大	v	87	0.000575
支出	vn	87	0.000575
范围	n	86	0.000568
鼓励	v	86	0.000568
农村	n	86	0.000568
商品	n	86	0.000568
执行	v	86	0.000568
功能	n	85	0.000562
区域	n	85	0.000562
行业	n	85	0.000562
产品	n	84	0.000555
调整	vn	84	0.000555
配套	vn	84	0.000555
投资	v	84	0.000555
重要	a	83	0.000548
研究	v	82	0.000542
储备	vn	81	0.000535
条件	n	81	0.000535
业务	n	81	0.000535
保险	n	80	0.000529
创新	vi	80	0.000529
经营	vn	80	0.000529
部分	m	79	0.000522
推动	v	79	0.000522
居住	vn	78	0.000515
内容	n	78	0.000515
有效	a	78	0.000515
增强	v	78	0.000515
改善	v	77	0.000509
解决	v	77	0.000509
申请	v	77	0.000509
意见	n	77	0.000509
办法	n	76	0.000502
专业	n	76	0.000502
补贴	n	75	0.000496
产权	n	75	0.000496
切实	ad	75	0.000496
保障	v	74	0.000489
合同	n	74	0.000489
投入	vn	74	0.000489
审计	v	72	0.000476
市政府	n	72	0.000476
转移	v	72	0.000476
发挥	v	71	0.000469
发现	v	71	0.000469
2010年	t	70	0.000463
贯彻	v	70	0.000463
通过	p	70	0.000463
出让	vn	69	0.000456
结合	v	69	0.000456
生活	vn	69	0.000456
养老	vn	69	0.000456
作用	n	69	0.000456
各类	r	68	0.000449
供应	vn	68	0.000449
利用	v	68	0.000449
围绕	v	68	0.000449
以上	f	68	0.000449
质量	n	68	0.000449
城镇	n	67	0.000443
世博会	n	67	0.000443
支持	vn	67	0.000443
开发	vn	66	0.000436
农业	n	66	0.000436
确保	v	66	0.000436
通信	vn	66	0.000436
执行	vn	66	0.000436
负责	v	65	0.00043
提出	v	65	0.00043
优化	v	65	0.00043
中小企业	n	65	0.00043
规模	n	64	0.000423
十二五	m	64	0.000423
总体	n	64	0.000423
城乡	n	63	0.000416
反映	v	63	0.000416
基地	n	63	0.000416
民生	n	63	0.000416
取得	v	63	0.000416
试点	vn	63	0.000416
大型	b	62	0.00041
基本	ad	62	0.00041
绩效	n	62	0.00041
强化	v	62	0.00041
涉及	v	62	0.00041
制定	v	62	0.00041
组织	v	62	0.00041
超过	v	61	0.000403
