词语	词性	词频	一元概率
住房	n	280	0.020663   特征分析
建设	vn	146	0.010774
项目	n	85	0.006273
商品	n	82	0.006051
家庭	n	77	0.005682
管理	vn	71	0.005239
本市	r	64	0.004723
房地产	n	64	0.004723
市场	n	62	0.004575
年度	n	60	0.004428
工作	vn	55	0.004059
购房	vn	52	0.003837
城乡	n	51	0.003764
工程	n	50	0.00369
支出	n	49	0.003616
保障	vn	47	0.003468
北京市	ns	41	0.003026
单位	n	41	0.003026
政策	n	41	0.003026
2013年	t	39	0.002878
预算	n	39	0.002878
决算	n	38	0.002804
按照	p	37	0.00273
价格	n	37	0.00273
部门	n	36	0.002657
落实	v	36	0.002657
企业	n	35	0.002583
信息	n	34	0.002509
房屋	n	32	0.002361
年初	t	32	0.002361
增加	v	31	0.002288
供应	vn	30	0.002214
加强	v	30	0.002214
开发	vn	30	0.002214
情况	n	29	0.00214
施工	vn	29	0.00214
2014年	t	28	0.002066
质量	n	28	0.002066
经济	n	27	0.001992
土地	n	27	0.001992
资金	n	27	0.001992
加快	v	26	0.001919
商品房	n	26	0.001919
销售	vn	26	0.001919
增长	v	26	0.001919
购买	v	25	0.001845
规划	n	24	0.001771
相关	vn	24	0.001771
其中	rz	23	0.001697
调控	vn	22	0.001623
责任	n	22	0.001623
发展	vn	21	0.00155
规定	n	21	0.00155
中心	n	21	0.00155
资格	n	21	0.00155
进行	vx	20	0.001476
完善	v	20	0.001476
房价	n	19	0.001402
服务	vn	19	0.001402
负责	v	19	0.001402
混凝土	n	19	0.001402
继续	v	19	0.001402
符合	v	18	0.001328
计划	n	18	0.001328
实现	v	18	0.001328
问题	n	18	0.001328
严格	ad	18	0.001328
原因	n	18	0.001328
主要	b	18	0.001328
促进	v	17	0.001255
改革	vn	17	0.001255
检测	vn	17	0.001255
进一步	d	17	0.001255
可以	v	17	0.001255
通过	p	17	0.001255
制度	n	17	0.001255
不得	vi	16	0.001181
方式	n	16	0.001181
机构	n	16	0.001181
监督	vn	16	0.001181
结构	n	16	0.001181
上半年	t	16	0.001181
通知	n	16	0.001181
稳定	an	16	0.001181
负责人	n	15	0.001107
根据	p	15	0.001107
关于	p	15	0.001107
建筑	n	15	0.001107
全市	n	15	0.001107
设计	vn	15	0.001107
审核	vn	15	0.001107
现场	s	15	0.001107
销售	v	15	0.001107
有关	vn	15	0.001107
专项	b	15	0.001107
承担	v	14	0.001033
改善	v	14	0.001033
减少	v	14	0.001033
结余	n	14	0.001033
面积	n	14	0.001033
取得	v	14	0.001033
确保	v	14	0.001033
条件	n	14	0.001033
需求	n	14	0.001033
财政	n	13	0.000959
措施	n	13	0.000959
合同	n	13	0.000959
加大	v	13	0.000959
监管	vn	13	0.000959
提高	v	13	0.000959
推进	vi	13	0.000959
完成	v	13	0.000959
办理	v	12	0.000886
力度	n	12	0.000886
纳入	v	12	0.000886
强化	v	12	0.000886
社会	n	12	0.000886
申请	v	12	0.000886
收入	n	12	0.000886
首都	n	12	0.000886
投资	vn	12	0.000886
优先	vd	12	0.000886
预售	vn	12	0.000886
组织	v	12	0.000886
安全	an	11	0.000812
保障	v	11	0.000812
北京	ns	11	0.000812
标准	n	11	0.000812
拨款	vn	11	0.000812
材料	n	11	0.000812
合计	v	11	0.000812
强度	n	11	0.000812
市政府	n	11	0.000812
执行	v	11	0.000812
中央	n	11	0.000812
环境	n	10	0.000738
基金	n	10	0.000738
机制	n	10	0.000738
平方米	q	10	0.000738
其他	rzv	10	0.000738
任务	n	10	0.000738
使用	v	10	0.000738
手续	n	10	0.000738
行为	n	10	0.000738
研究	v	10	0.000738
要求	n	10	0.000738
原则	n	10	0.000738
政府	n	10	0.000738
总体	n	10	0.000738
组织	n	10	0.000738
做好	v	10	0.000738
[详细]	n	9	0.000664
保持	v	9	0.000664
本年	t	9	0.000664
变化	vn	9	0.000664
发布	v	9	0.000664
发展	v	9	0.000664
房源	n	9	0.000664
各项	r	9	0.000664
公共	b	9	0.000664
建立	v	9	0.000664
建筑	v	9	0.000664
精神	n	9	0.000664
竣工	vi	9	0.000664
开工	vi	9	0.000664
确定	v	9	0.000664
实施	v	9	0.000664
网上	s	9	0.000664
系统	n	9	0.000664
形势	n	9	0.000664
一个	mq	9	0.000664
已经	d	9	0.000664
意见	n	9	0.000664
用于	v	9	0.000664
重要	a	9	0.000664
百分点	n	8	0.00059
包括	v	8	0.00059
备案	vn	8	0.00059
编号	n	8	0.00059
不断	d	8	0.00059
城市	n	8	0.00059
出让	vn	8	0.00059
错误	n	8	0.00059
登记	vn	8	0.00059
督促	v	8	0.00059
方面	n	8	0.00059
分配	vn	8	0.00059
改造	vn	8	0.00059
购房	v	8	0.00059
贯彻	v	8	0.00059
环节	n	8	0.00059
及时	ad	8	0.00059
节能	vn	8	0.00059
居民	n	8	0.00059
开展	v	8	0.00059
设施	n	8	0.00059
套数	n	8	0.00059
提出	v	8	0.00059
体系	n	8	0.00059
需要	n	8	0.00059
许可	vn	8	0.00059
研究	vn	8	0.00059
依法	d	8	0.00059
以下	f	8	0.00059
应当	v	8	0.00059
支付	vn	8	0.00059
主要	d	8	0.00059
转让	vn	8	0.00059
北京市人民政府	nt	7	0.000517
城乡建设委员会	nt	7	0.000517
对象	n	7	0.000517
服务	v	7	0.000517
个人	n	7	0.000517
国土	n	7	0.000517
户籍	n	7	0.000517
基本	a	7	0.000517
技术	n	7	0.000517
建设	v	7	0.000517
解决	v	7	0.000517
进度	n	7	0.000517
尽快	d	7	0.000517
经费	n	7	0.000517
具体	a	7	0.000517
科技	n	7	0.000517
品质	n	7	0.000517
普通	a	7	0.000517
切实	ad	7	0.000517
人员	n	7	0.000517
认真	ad	7	0.000517
申购	vn	7	0.000517
申请表	n	7	0.000517
水平	n	7	0.000517
同时	c	7	0.000517
推动	v	7	0.000517
违法	vn	7	0.000517
违规	vn	7	0.000517
行政	n	7	0.000517
姓名	n	7	0.000517
引导	v	7	0.000517
用地	n	7	0.000517
指导	vn	7	0.000517
10月	t	6	0.000443
安置	vn	6	0.000443
采取	v	6	0.000443
查处	v	6	0.000443
成员	n	6	0.000443
程序	n	6	0.000443
存在	v	6	0.000443
